song_name|artist_id|upload_time|tag|album_art|song_data_url|background_light|background_dark|waveform_data|song_duration
"Don t Worry"|8304|"06/04/2014"|"# Rock"|"https://i1.sndcdn.com/artworks-dtXaGCGTH2GM-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/04+Don_t+Worry.m4a"|"(178.5, 76.5, 76.5)"|"(68, 68, 69)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-12.json"|203
"Lay My Claim"|4372|"12/12/2017"|"# Rock"|"https://i1.sndcdn.com/artworks-dTUBUGMflT5w-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/04+Lay+My+Claim.m4a"|"(180, 116, 84)"|"(109, 75, 61)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-13.json"|242
"Runaway Train"|5330|"01/22/2018"|"# Rock"|"https://i1.sndcdn.com/artworks-000041152793-g4nqks-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/04+Runaway+Train.m4a"|"(172, 52, 100)"|"(68, 68, 68)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-14.json"|245
"Back Then"|4024|"11/11/2019"|"# Rock"|"https://i1.sndcdn.com/artworks-N2PvuC3eQnZV-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/05+Back+Then.m4a"|"(207, 124, 156)"|"(68, 68, 68)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-15.json"|252
"Fade Away"|9449|"12/12/2001"|"# Rock"|"https://i1.sndcdn.com/artworks-ead2c3d1-6bc3-435b-8893-f9dfec4948f9-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/05+Fade+Away.m4a"|"(204, 137, 100)"|"(42, 60, 84)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-16.json"|209
"Pay No Mind (feat. Passion Pit)"|9167|"01/01/2019"|"# Rock"|"https://i1.sndcdn.com/artworks-phOVVZaAWZjN-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/05+Pay+No+Mind+(feat.+Passion+Pit).m4a"|"(127.5, 127.5, 127.5)"|"(99, 53, 49)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-17.json"|249
"Pretty Lady"|4729|"01/07/2015"|"# Alternative"|"https://i1.sndcdn.com/artworks-000406962459-1rdszx-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/05+Pretty+Lady.m4a"|"(241, 44, 36)"|"(92, 65, 41)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-18.json"|220
"Notice Me"|1909|"09/25/2017"|"# Alternative"|"https://i1.sndcdn.com/artworks-jZ4MhgzsCeD2-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/07+Notice+Me.m4a"|"(210, 150, 27)"|"(63, 68, 71)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-19.json"|203
"The Buzz (feat. Mataya Young Tapz)"|1805|"12/12/2017"|"# Alternative"|"https://i1.sndcdn.com/artworks-X9ECgJjtm2D8-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/07+The+Buzz+(feat.+Mataya+_+Young+Tapz).m4a"|"(180, 73, 36)"|"(52, 52, 52)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-20.json"|221
"Alive 2"|5429|"11/11/2019"|"# Alternative"|"https://i1.sndcdn.com/artworks-LIfLnVPinpp9-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/08+Alive+2.m4a"|"(137, 66, 60)"|"(50, 28, 28)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-21.json"|285
"Lionhearted (feat. Urban Cone)"|806|"08/12/2010"|"# Alternative"|"https://i1.sndcdn.com/artworks-6Ey9bVhrOQyd-0-t200x200.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/09+Lionhearted+(feat.+Urban+Cone).m4a"|"(220, 49, 45)"|"(87, 49, 44)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-22.json"|266
"Sleepyhead"|9670|"01/22/2018"|"# Alternative"|"https://i1.sndcdn.com/artworks-lLcfGeHyrwx7-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/09+Sleepyhead.m4a"|"(180, 133, 89)"|"(68, 60, 60)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-23.json"|174
"Keep It Mello (feat. Omar Linx)"|2906|"06/04/2014"|"# Alternative"|"https://i1.sndcdn.com/artworks-mJM0v8IbS9aC-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/10+Keep+It+Mello+(feat.+Omar+Linx).m4a"|"(42.5, 127.5, 212.5)"|"(56, 86, 98)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-24.json"|243
"Older"|4706|"05/23/2016"|"# Alternative"|"https://i1.sndcdn.com/artworks-7B9K1B0iCvNY-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/10+Older.m4a"|"(204, 28, 100)"|"(79, 69, 60)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-25.json"|234
"The Drugs"|8483|"12/12/2001"|"# Alternative"|"https://i1.sndcdn.com/artworks-nCnZ2AkxjTrQ-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/10+The+Drugs.m4a"|"(183, 97, 65)"|"(88, 55, 42)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-26.json"|262
"Sativa"|7920|"10/10/2019"|"# Alternative"|"https://i1.sndcdn.com/artworks-0bZv0PYGWBwf-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/13+Sativa.m4a"|"(146, 180, 31)"|"(59, 52, 32)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-27.json"|241
"Ain t My Fault (R3hab Remix)"|7040|"12/12/2017"|"# Rap"|"https://i1.sndcdn.com/artworks-rtbnf1jKMzhz-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Ain_t+My+Fault+(R3hab+Remix).mp3"|"(220, 48, 50)"|"(84, 60, 50)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-28.json"|159
"All We Know (feat. Phoebe Ryan)"|7700|"05/23/2016"|"# Rap"|"https://i1.sndcdn.com/artworks-SDlnsWZyrio9-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/All+We+Know+(feat.+Phoebe+Ryan).mp3"|"(211, 120, 44)"|"(72, 47, 75)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-29.json"|194
"Another Day In Paradise"|1669|"08/09/2017"|"# Rap"|"https://i1.sndcdn.com/artworks-SmwyhV0qHIWE-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Another+Day+In+Paradise.mp3"|"(118, 53, 202)"|"(70, 62, 46)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-30.json"|255
"Blame (feat. Elliphant)"|9342|"08/09/2005"|"# Rap"|"https://i1.sndcdn.com/artworks-000583028201-bn4fmb-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Blame+(feat.+Elliphant).mp3"|"(223, 170, 36)"|"(82, 62, 70)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-31.json"|218
"Bones"|1145|"06/04/2014"|"# Rap"|"https://i1.sndcdn.com/artworks-000596865161-eahd9u-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Bones.mp3"|"(212, 52, 44)"|"(68, 68, 68)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-32.json"|222
"Breathe"|4840|"11/11/2019"|"# Rap"|"https://i1.sndcdn.com/artworks-SrgiXRDU19C4-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Breathe.mp3"|"(188, 92, 100)"|"(98, 60, 50)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-33.json"|175
"Bring it Down (Dillistone Remix)"|2389|"10/10/2019"|"# Rap"|"https://i1.sndcdn.com/artworks-000548554350-12tdb6-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Bring+it+Down+(Dillistone+Remix).mp3"|"(212, 140, 126)"|"(82, 78, 48)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-34.json"|222
"Burn Wild (Young Bombs Remix)"|1964|"08/12/2010"|"# Rap"|"https://i1.sndcdn.com/artworks-000475341159-tb7dwe-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Burn+Wild+(Young+Bombs+Remix).mp3"|"(190, 60, 47)"|"(59, 68, 82)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-35.json"|213
"Came Up (feat. Post Malone Key!)"|8483|"12/12/2001"|"# Rap"|"https://i1.sndcdn.com/artworks-000600104264-gmv51b-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Came+Up+(feat.+Post+Malone+_+Key!).mp3"|"(143, 121.5, 112)"|"(92, 86, 41)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-36.json"|215
"Can t Hide (feat. Ashe)"|7963|"12/12/2017"|"# Rap"|"https://i1.sndcdn.com/artworks-Lo1kgdAhF1OY-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Can_t+Hide+(feat.+Ashe).mp3"|"(236, 52, 108)"|"(75, 58, 40)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-37.json"|184
"Catch Me (feat. Naaz) [Candlelight Remix]"|8692|"11/11/2019"|"# Rap"|"https://i1.sndcdn.com/artworks-000573126128-puhbim-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Catch+Me+(feat.+Naaz)+%5BCandlelight+Remix%5D.mp3"|"(188, 113, 57)"|"(57, 53, 89)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-38.json"|135
"Collapse 2.0 (feat. Memorecks)"|7530|"09/25/2017"|"# Classical"|"https://i1.sndcdn.com/artworks-000040918988-esouxl-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Collapse+2.0+(feat.+Memorecks).mp3"|"(204, 180, 148)"|"(42, 50, 79)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-39.json"|199
"Don t Let Me Down (3LAU Remix)"|9466|"01/22/2018"|"# Classical"|"https://i1.sndcdn.com/artworks-000058981513-k0y8hd-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Don_t+Let+Me+Down+(3LAU+Remix).mp3"|"(64, 111, 172)"|"(50, 40, 86)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-40.json"|214
"Easy Go (feat. Delaney Jane)"|4682|"08/09/2017"|"# Classical"|"https://i1.sndcdn.com/artworks-000168832643-7s82pf-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Easy+Go+(feat.+Delaney+Jane).mp3"|"(237, 35, 130)"|"(89, 76, 60)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-41.json"|191
"Fast Car (feat. Dakota)"|19|"05/23/2016"|"# Classical"|"https://i1.sndcdn.com/artworks-OWKeuFYB0ezE-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Fast+Car+(feat.+Dakota).mp3"|"(171.5, 83.5, 142.5)"|"(84, 63, 48)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-42.json"|212
"Feel Good (feat. Daya)"|7448|"10/10/2019"|"# Classical"|"https://i1.sndcdn.com/artworks-000034641100-evi0kr-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Feel+Good+(feat.+Daya).mp3"|"(100, 60, 196)"|"(88, 85, 58)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-43.json"|252
"Fight Song"|2472|"12/12/2001"|"# Classical"|"https://i1.sndcdn.com/artworks-000045320385-poid7d-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Fight+Song.mp3"|"(192, 72, 119)"|"(74, 49, 37)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-44.json"|203
"Final Song"|4061|"12/12/2017"|"# Classical"|"https://i1.sndcdn.com/artworks-000019380068-n4ejak-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Final+Song.mp3"|"(250, 215, 40)"|"(64, 76, 50)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-45.json"|233
"Finish Line (feat. Doe Wright)"|4984|"10/30/2016"|"# Classical"|"https://i1.sndcdn.com/artworks-000075558132-fy5tv6-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Finish+Line+(feat.+Doe+Wright).mp3"|"(204, 170, 101)"|"(52, 65, 86)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-46.json"|180
"Flare Guns (feat. Chelsea Cutler)"|2099|"01/01/2019"|"# Classical"|"https://i1.sndcdn.com/artworks-000036757933-js2cma-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Flare+Guns+(feat.+Chelsea+Cutler).mp3"|"(50, 132, 205)"|"(88, 91, 45)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-47.json"|239
"Fortress (feat. Joni Fatora) [Just A Gent Remix]"|1703|"03/19/2014"|"# Classical"|"https://i1.sndcdn.com/artworks-000030026172-86m9z3-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Fortress+(feat.+Joni+Fatora)+%5BJust+A+Gent+Remix%5D.mp3"|"(63.75, 191.25, 63.75)"|"(81, 70, 51)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-48.json"|237
"Friend"|9516|"08/09/2017"|"# Classical"|"https://i1.sndcdn.com/artworks-000046826426-o7i9ki-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Friend.mp3"|"(37, 37, 233)"|"(67, 62, 80)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-49.json"|292
"Friends In The Dark (feat. Otis Parker)"|7727|"03/19/2014"|"# Classical"|"https://i1.sndcdn.com/artworks-000081944984-b29c1g-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Friends+In+The+Dark+(feat.+Otis+Parker).mp3"|"(174, 173, 67)"|"(95, 79, 120)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-50.json"|186
"Glory Gore (Unlike Pluto remix)"|3264|"11/11/2019"|"# Classical"|"https://i1.sndcdn.com/artworks-000385131576-r9bq1u-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Glory+_+Gore+(Unlike+Pluto+remix).mp3"|"(244, 203, 59)"|"(73, 73, 73)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-51.json"|204
"Hello (Marshmello Remix)"|9133|"05/23/2016"|"# Country"|"https://i1.sndcdn.com/artworks-2abcaf2b-d0f9-4ec8-ad38-e83cb2c79b27-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Hello+(Marshmello+Remix).mp3"|"(204, 38, 4)"|"(63, 63, 63)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-52.json"|233
"Hero (feat. Christina Perri)"|463|"08/09/2005"|"# Country"|"https://i1.sndcdn.com/avatars-000331016690-g5utdg-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Hero+(feat.+Christina+Perri).mp3"|"(10, 144, 193)"|"(95, 100, 68)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-53.json"|198
"I Want U"|9034|"10/10/2019"|"# Country"|"https://i1.sndcdn.com/artworks-8p8VVow1ksFd-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/I+Want+U.mp3"|"(127.5, 127.5, 127.5)"|"(76, 60, 52)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-54.json"|212
"I Won t Let You Walk Away (feat. Madison Beer)"|8628|"12/12/2001"|"# Country"|"https://i1.sndcdn.com/artworks-RRKmVXcilWFq-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/I+Won_t+Let+You+Walk+Away+(feat.+Madison+Beer).mp3"|"(226, 140, 26)"|"(50, 75, 78)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-55.json"|165
"In The Name Of Love (feat. Bebe Rexha)"|9615|"05/23/2016"|"# Country"|"https://i1.sndcdn.com/artworks-hfeQFCFDyk9m-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/In+The+Name+Of+Love+(feat.+Bebe+Rexha).mp3"|"(168, 12, 20)"|"(68, 76, 60)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-56.json"|198
"Infinity (Illenium Remix)"|4064|"01/22/2018"|"# Country"|"https://i1.sndcdn.com/artworks-8tFwryXE6Vf8-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Infinity+(Illenium+Remix).mp3"|"(127.5, 127.5, 127.5)"|"(66, 56, 45)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-57.json"|278
"It s All On U (feat. Liam O Donnell)"|2646|"03/19/2014"|"# Country"|"https://i1.sndcdn.com/artworks-T57DemwYS2Ut-0-t500x500.png"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/It_s+All+On+U+(feat.+Liam+O_Donnell).mp3"|"(236.5, 180.5, 18.5)"|"(62, 65, 83)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-58.json"|204
"Leaves in the Pool"|5391|"10/30/2016"|"# Country"|"https://i1.sndcdn.com/artworks-wDrGREVyd670-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Leaves+in+the+Pool.mp3"|"(195, 55, 52)"|"(73, 72, 70)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-59.json"|218
"Light"|8819|"03/19/2014"|"# Country"|"https://i1.sndcdn.com/artworks-BWiOHpuSXLI0-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Light.mp3"|"(134, 124.5, 120.5)"|"(88, 70, 43)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-60.json"|240
"Limelight (feat. ROZES) [NGHTMRE Remix]"|5046|"12/12/2017"|"# Country"|"https://i1.sndcdn.com/artworks-bTfJN2R7JvO2-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Limelight+(feat.+ROZES)+%5BNGHTMRE+Remix%5D.mp3"|"(236, 61, 74)"|"(42, 36, 81)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-61.json"|255
"Lionhearted (Arty Remix) [feat. Urban Cone]"|8323|"08/09/2017"|"# Country"|"https://i1.sndcdn.com/artworks-wlTOSyD1USOC-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/09+Lionhearted+(feat.+Urban+Cone).m4a"|"(146, 77, 38)"|"(51, 65, 94)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-62.json"|216
"Lost in You"|4352|"09/25/2017"|"# Jazz"|"https://i1.sndcdn.com/artworks-GDBf848n0gXU-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Lost+in+You.mp3"|"(218, 125, 66)"|"(68, 60, 62)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-63.json"|207
"Love War (feat. Yade Lauren)"|6078|"04/07/2019"|"# Jazz"|"https://i1.sndcdn.com/artworks-NNYg9mnBGLA4-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Love+_+War+(feat.+Yade+Lauren).mp3"|"(214, 12, 20)"|"(118, 56, 34)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-64.json"|180
"Love Is Alive (feat. Elohim)"|4727|"01/22/2018"|"# Jazz"|"https://i1.sndcdn.com/artworks-PSisSikQ3kKg-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Love+Is+Alive+(feat.+Elohim).mp3"|"(54, 88, 180)"|"(60, 58, 110)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-65.json"|170
"Make Time"|588|"01/01/2019"|"# Jazz"|"https://i1.sndcdn.com/artworks-ZqlrFViBYvXy-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Make+Time.mp3"|"(211, 135, 70)"|"(99, 76, 62)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-66.json"|203
"Mr. Brightside (Two Friends Remix)"|5149|"05/23/2016"|"# Jazz"|"https://i1.sndcdn.com/artworks-1nyIGg9s8QpJ-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Mr.+Brightside+(Two+Friends+Remix).mp3"|"(200, 124, 44)"|"(78, 86, 83)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-67.json"|215
"Native Tongue"|4083|"01/01/2019"|"# Jazz"|"https://i1.sndcdn.com/artworks-I6rsKQDT2qNO-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Native+Tongue.mp3"|"(17, 37, 192)"|"(52, 60, 60)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-68.json"|178
"Neighborhood"|5824|"10/10/2019"|"# Jazz"|"https://i1.sndcdn.com/artworks-IrpdD6f2x9Dl-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/Neighborhood.mp3"|"(39, 100, 123)"|"(66, 54, 50)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-69.json"|220
"No Coming Down (feat. Alex Wiley Sky Montique)"|5072|"08/09/2017"|"# Jazz"|"https://i1.sndcdn.com/artworks-fy1FosylY3EX-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/No+Coming+Down+(feat.+Alex+Wiley+_+Sky+Montique).mp3"|"(196, 100, 68)"|"(68, 57, 56)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-70.json"|195
"No Sunshine"|4093|"12/12/2017"|"# Jazz"|"https://i1.sndcdn.com/artworks-7iPQmkzcOvIL-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/No+Sunshine.mp3"|"(166, 52, 41)"|"(51, 69, 83)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-71.json"|178
